24
Solution: P0=3, P1=2, P2=1, P3=4, 
Solution: P0=4, P1=2, P2=1, P3=3, 
Solution: P0=4, P1=3, P2=1, P3=2, 
Solution: P0=2, P1=3, P2=1, P3=4, 
Solution: P0=2, P1=4, P2=1, P3=3, 
Solution: P0=3, P1=4, P2=1, P3=2, 
Solution: P0=1, P1=4, P2=2, P3=3, 
Solution: P0=1, P1=3, P2=2, P3=4, 
Solution: P0=3, P1=1, P2=2, P3=4, 
Solution: P0=3, P1=4, P2=2, P3=1, 
Solution: P0=4, P1=1, P2=2, P3=3, 
Solution: P0=4, P1=3, P2=2, P3=1, 
Solution: P0=4, P1=1, P2=3, P3=2, 
Solution: P0=2, P1=1, P2=3, P3=4, 
Solution: P0=4, P1=2, P2=3, P3=1, 
Solution: P0=1, P1=2, P2=3, P3=4, 
Solution: P0=1, P1=4, P2=3, P3=2, 
Solution: P0=2, P1=4, P2=3, P3=1, 
Solution: P0=2, P1=3, P2=4, P3=1, 
Solution: P0=3, P1=2, P2=4, P3=1, 
Solution: P0=1, P1=3, P2=4, P3=2, 
Solution: P0=3, P1=1, P2=4, P3=2, 
Solution: P0=1, P1=2, P2=4, P3=3, 
Solution: P0=2, P1=1, P2=4, P3=3, 
